Time [us],Protocol,Packet Length (Layer 3) [Byte]
26802147,IEC 60870-5 ASDU,252
26843885,TCP,46
26901633,IEC 60870-5 ASDU,292
26901633,IEC 60870-5 ASDU,252
27001892,IEC 60870-5 ASDU,292
27001893,IEC 60870-5 ASDU,252
27102233,IEC 60870-5 ASDU,292
27102235,IEC 60870-5 ASDU,252
27202220,IEC 60870-5 ASDU,292
27202221,IEC 60870-5 ASDU,252
27243705,TCP,46
27301619,IEC 60870-5 ASDU,292
27301619,IEC 60870-5 ASDU,252
27402073,IEC 60870-5 ASDU,292
27402074,IEC 60870-5 ASDU,252
27502189,IEC 60870-5 ASDU,292
27502190,IEC 60870-5 ASDU,252
27601746,IEC 60870-5 ASDU,292
27601746,IEC 60870-5 ASDU,252
27644279,TCP,46
27701534,IEC 60870-5 ASDU,292
27701535,IEC 60870-5 ASDU,252
27802121,IEC 60870-5 ASDU,292
27802122,IEC 60870-5 ASDU,252
27902116,IEC 60870-5 ASDU,292
27902117,IEC 60870-5 ASDU,252
28002139,IEC 60870-5 ASDU,292
28002140,IEC 60870-5 ASDU,252
28043955,TCP,46
28101937,IEC 60870-5 ASDU,292
28101939,IEC 60870-5 ASDU,252
28202097,IEC 60870-5 ASDU,292
28202098,IEC 60870-5 ASDU,252
28301453,IEC 60870-5 ASDU,292
28301454,IEC 60870-5 ASDU,252
28402002,IEC 60870-5 ASDU,292
28402002,IEC 60870-5 ASDU,252
28424212,TCP,46
28502089,IEC 60870-5 ASDU,292
28502089,IEC 60870-5 ASDU,252
28601930,IEC 60870-5 ASDU,292
28601931,IEC 60870-5 ASDU,252
28702047,IEC 60870-5 ASDU,292
28702048,IEC 60870-5 ASDU,252
28801802,IEC 60870-5 ASDU,292
28801803,IEC 60870-5 ASDU,252
28843545,TCP,46
28901480,IEC 60870-5 ASDU,292
28901481,IEC 60870-5 ASDU,252
29012115,IEC 60870-5 ASDU,292
29012116,IEC 60870-5 ASDU,252
29101833,IEC 60870-5 ASDU,292
29101833,IEC 60870-5 ASDU,252
29201898,IEC 60870-5 ASDU,292
29201899,IEC 60870-5 ASDU,252
29243899,TCP,46
29302194,IEC 60870-5 ASDU,292
29302194,IEC 60870-5 ASDU,252
29401826,IEC 60870-5 ASDU,292
29401827,IEC 60870-5 ASDU,252
29511755,IEC 60870-5 ASDU,292
29511756,IEC 60870-5 ASDU,252
29601868,IEC 60870-5 ASDU,292
29601869,IEC 60870-5 ASDU,252
29644138,TCP,46
29701848,IEC 60870-5 ASDU,292
29701849,IEC 60870-5 ASDU,252
29801440,IEC 60870-5 ASDU,292
29801441,IEC 60870-5 ASDU,252
29901674,IEC 60870-5 ASDU,292
29901675,IEC 60870-5 ASDU,252
